5±¶,5±¶,5±¶,5±¶,5±¶,5±¶,5±¶,5±¶,5±¶,5±¶,XX
3,5,4,3,3,5,3,3,4,8,
4,5,3,3,4,3,4,5,3,4,
3,9,5,8,4,3,8,3,5,7,
4,4,3,3,5,7,4,4,3,5,
9,4,8,4,2,5,3,4,5,3,
4,9,3,3,3,3,3,4,3,4,
7,7,4,4,4,4,9,3,4,5,
4,3,3,5,3,4,4,4,5,3,
3,3,5,5,4,3,5,3,8,8,
9,4,8,3,5,5,3,3,5,5,
5,5,5,3,3,5,8,4,4,7,
5,9,5,8,4,4,5,3,5,4,
5,4,5,3,5,7,4,5,3,5,
4,3,3,4,4,4,3,4,5,5,
5,4,4,3,4,4,4,4,5,3,
3,5,3,4,3,4,7,4,3,4,
4,3,4,4,3,3,3,3,4,5,
5,3,5,4,4,5,3,5,3,7,
5,5,4,5,3,3,3,4,4,5,
7,3,4,3,3,4,4,5,4,4,
4,7,4,5,3,4,4,5,4,5,
5,5,8,9,4,4,5,3,8,4,
3,3,3,4,5,3,3,5,3,3,
3,9,5,3,5,9,4,4,4,3,
3,9,4,3,2,3,4,4,3,5,
5,4,4,4,3,3,3,4,3,8,
3,4,4,3,4,5,8,5,5,5,
4,3,5,3,5,4,5,3,3,3,
7,4,5,8,3,5,4,3,8,7,
5,3,4,3,4,7,4,5,4,4,
5,4,5,4,4,4,9,4,3,5,
9,3,5,5,2,5,4,4,3,3,
3,7,3,4,3,5,5,3,4,5,
5,4,3,3,3,3,4,3,3,4,
4,3,3,5,4,5,5,3,4,7,
5,9,8,9,3,3,5,4,4,3,
7,5,5,3,3,4,5,3,8,3,
4,3,4,5,3,3,4,3,3,4,
4,4,4,4,5,5,5,5,3,5,
3,3,5,4,4,3,3,3,3,3,
5,4,3,5,5,3,4,4,3,5,
5,5,4,3,5,4,3,4,5,5,
4,9,3,9,3,5,4,3,4,8,
5,3,3,3,4,3,7,3,4,3,
7,3,4,4,3,3,7,4,3,4,
5,7,4,4,3,5,5,3,4,5,
3,3,3,5,4,4,3,3,5,4,
7,5,5,5,2,7,4,4,5,4,
3,3,4,5,4,3,9,4,3,5,
4,4,5,3,4,4,5,4,4,5,
9,9,8,9,5,3,5,3,5,5,
3,4,3,5,4,4,3,4,4,7,
5,5,4,4,4,5,5,3,3,3,
4,4,5,5,4,5,5,4,5,3,
5,3,3,4,3,3,4,5,8,3,
5,5,3,3,3,5,5,3,3,3,
4,4,4,9,3,3,4,4,4,4,
5,3,4,4,4,4,4,4,3,7,
3,3,5,5,3,9,5,5,5,5,
7,4,4,4,3,5,4,4,5,5,
5,5,4,8,5,5,5,5,5,5,
3,4,5,3,5,3,7,5,5,5,
5,3,3,5,4,5,5,4,3,8,
4,4,5,3,4,5,7,8,5,4,
9,3,5,3,5,5,4,5,5,4,
5,7,3,4,3,4,5,3,3,4,
5,9,5,3,4,7,5,4,5,4,
4,3,3,3,4,3,3,3,5,4,
5,4,3,3,5,5,4,5,4,4,
3,4,5,4,4,4,8,5,3,3,
5,3,3,9,4,3,4,5,4,3,
4,7,3,4,4,4,9,5,5,5,
7,5,3,5,4,5,4,5,8,7,
3,5,5,8,4,4,5,4,3,4,
4,4,8,4,4,5,4,5,4,7,
3,4,4,5,3,4,4,3,5,5,
3,3,3,3,3,4,3,5,3,5,
3,4,4,3,3,4,5,5,3,5,
3,4,3,4,5,3,4,4,8,5,
5,3,3,3,4,3,5,5,3,8,
9,5,3,4,5,5,8,3,3,3,
4,5,4,9,4,4,4,5,3,4,
3,4,4,5,4,9,5,4,4,4,
3,4,4,5,3,9,7,4,4,4,
7,9,4,5,4,5,3,3,3,7,
5,4,3,5,5,5,4,3,3,4,
4,4,4,5,7,4,4,3,5,4,
4,5,4,3,3,3,3,3,4,5,
3,3,4,3,4,5,3,8,4,7,
3,7,4,7,3,4,4,4,3,4,
7,3,4,4,4,5,7,3,4,3,
5,5,3,5,4,3,7,4,3,4,
9,5,3,8,5,5,9,4,3,3,
3,3,8,9,3,5,4,5,8,7,
3,7,4,9,3,3,3,5,4,7,
9,5,3,4,4,3,3,3,4,3,
5,7,5,5,3,9,4,4,3,3,
3,4,3,4,3,5,5,4,4,5,
5,5,5,3,5,3,5,3,3,3,
3,4,4,4,4,4,4,4,7,8,
3,9,3,9,4,4,4,5,4,4,
5,5,5,3,4,5,3,3,3,3,
4,5,3,3,4,5,4,3,4,5,
4,9,5,4,5,5,8,5,3,5,
4,5,4,9,3,3,3,5,4,7,
4,5,4,3,4,5,4,3,3,5,
4,7,3,4,2,4,3,5,5,7,
5,4,3,3,4,3,4,3,3,5,
3,5,7,3,4,3,3,3,4,3,
7,7,3,3,3,3,8,5,3,5,
3,3,5,4,5,3,9,5,8,5,
3,5,5,3,2,3,7,3,4,5,
4,5,3,9,5,9,8,4,5,7,
4,7,3,3,3,3,5,8,3,4,
5,9,5,8,3,3,7,5,4,4,
3,5,8,5,4,7,3,4,8,3,
9,7,5,4,5,9,3,3,5,8,
3,4,4,9,3,5,3,4,5,5,
3,7,5,5,5,3,5,4,5,7,
3,4,3,3,5,3,4,3,5,4,
XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,
555,586,506,561,456,530,572,483,509,575,
600,600,600,600,600,600,600,600,600,600,
93%,98%,83%,94%,76%,89%,96%,81%,85%,96%,
,,,,,,,,,,
