10±¶,10±¶,10±¶,10±¶,10±¶,10±¶,10±¶,10±¶,10±¶,10±¶,XX
6,8,6,6,5,6,5,7,7,6,
6,6,7,12,8,6,7,6,5,5,
5,5,7,7,12,5,5,5,6,7,
8,8,7,6,8,8,7,4,5,5,
7,8,7,22,5,7,24,5,8,7,
5,7,11,7,13,6,6,5,8,7,
5,8,8,5,5,7,8,8,8,6,
6,7,7,5,5,6,6,7,8,7,
8,5,8,6,8,5,5,6,5,5,
6,6,5,6,7,6,5,6,7,7,
6,5,5,7,8,5,8,5,5,5,
7,5,6,8,5,8,6,7,5,8,
8,8,7,7,33,8,5,6,5,7,
6,8,5,23,8,6,33,5,7,8,
5,6,6,8,6,6,6,5,5,6,
8,19,5,8,8,14,8,6,5,7,
7,7,7,5,6,7,8,5,5,8,
7,5,7,7,7,5,5,4,8,6,
8,6,7,12,22,6,6,7,6,8,
6,17,5,7,7,8,7,6,6,5,
7,8,11,5,8,5,7,4,7,6,
6,7,6,5,7,7,8,5,8,8,
6,6,7,8,5,7,8,5,8,7,
6,7,5,8,5,5,8,6,6,7,
8,7,6,6,6,7,15,8,6,8,
7,5,5,8,6,8,7,7,6,5,
8,22,7,7,14,7,7,5,5,8,
6,5,16,8,6,7,7,4,8,7,
8,6,8,13,6,7,5,6,6,6,
5,7,5,13,6,14,15,5,8,23,
6,8,7,6,8,6,6,5,6,5,
8,5,6,6,5,7,6,7,7,6,
7,7,5,6,7,5,5,5,14,5,
8,7,8,6,6,8,6,7,7,7,
7,17,8,8,12,6,6,5,5,5,
6,5,6,11,7,6,8,4,11,8,
8,7,7,7,7,7,8,7,8,7,
6,8,7,5,8,22,6,7,5,27,
5,6,5,6,7,7,16,5,6,8,
5,23,7,7,6,8,7,7,7,7,
5,6,5,7,5,8,5,6,7,7,
8,5,8,6,7,5,6,6,5,14,
7,7,5,5,11,6,5,6,8,8,
6,8,5,7,7,7,7,6,8,5,
7,5,7,5,6,7,5,5,6,8,
7,8,5,5,8,8,8,5,5,6,
8,7,8,6,6,6,6,7,15,7,
5,7,8,23,22,5,7,7,5,8,
6,8,5,6,6,5,7,7,8,16,
7,5,8,8,6,7,14,7,6,6,
8,5,5,6,7,14,7,7,7,5,
8,5,8,6,7,6,8,4,8,5,
8,5,6,14,8,5,6,4,5,14,
6,24,8,5,8,7,5,5,14,6,
5,8,7,7,7,16,7,6,8,8,
5,5,22,6,7,7,12,7,5,6,
6,8,8,5,7,8,6,6,5,8,
6,8,6,7,7,5,8,6,6,5,
5,6,5,7,7,7,8,6,8,8,
8,5,6,8,31,8,7,5,8,7,
5,7,7,21,5,5,8,6,8,7,
7,6,13,5,8,11,8,6,8,15,
8,5,8,8,7,7,6,6,14,12,
6,8,6,5,5,5,6,5,7,5,
7,5,6,6,5,7,5,5,7,8,
5,11,7,8,8,8,13,6,6,8,
7,8,7,8,13,8,8,6,7,5,
8,8,7,6,8,15,6,7,5,6,
5,8,7,7,5,7,15,6,15,6,
6,8,8,7,6,7,7,6,6,7,
7,23,7,7,6,5,8,6,8,8,
7,5,5,13,7,7,8,7,6,19,
7,7,5,8,14,8,8,7,7,5,
8,11,7,6,6,7,8,7,7,5,
5,7,7,5,6,5,15,5,6,5,
5,5,8,7,5,22,5,5,8,8,
8,7,5,7,7,8,8,4,7,7,
6,8,6,5,7,7,8,5,6,6,
5,15,8,6,6,5,18,6,7,6,
5,6,7,8,6,5,7,7,7,5,
8,8,14,22,5,7,7,6,6,6,
8,8,7,6,14,7,7,5,23,8,
6,5,6,7,6,8,6,5,5,5,
7,7,7,5,5,7,6,7,8,6,
5,5,7,8,5,15,22,5,8,5,
5,15,5,7,33,8,6,4,6,13,
6,7,8,8,7,6,5,5,8,7,
6,5,6,14,6,7,6,6,7,5,
6,6,7,7,11,8,6,5,6,8,
8,8,6,5,6,8,33,6,5,7,
8,7,8,7,8,7,8,5,8,22,
6,15,5,6,15,6,6,5,8,8,
5,6,8,8,7,7,8,6,7,6,
5,5,8,15,7,16,5,4,19,7,
7,5,5,5,5,7,8,4,7,5,
7,22,5,5,5,7,8,6,6,7,
6,8,6,8,12,6,5,6,8,8,
7,5,7,6,8,14,6,5,5,8,
5,8,8,7,8,6,17,7,5,6,
5,5,5,7,7,6,6,5,7,6,
XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,
,,,,,,,,,,
1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
60%,80%,70%,79%,83%,76%,84%,57%,73%,76%,
