5±¶,5±¶,5±¶,5±¶,5±¶,5±¶,5±¶,5±¶,5±¶,5±¶,XX
5,4,3,3,5,4,3,3,3,3,
5,5,5,4,3,3,4,4,5,19,
19,33,5,26,3,4,26,3,19,5,
3,4,5,3,4,26,5,19,3,19,
26,3,5,4,4,5,3,4,5,19,
3,4,5,19,4,3,3,5,4,4,
13,4,4,3,4,3,26,5,13,19,
5,33,3,3,19,26,26,19,5,4,
3,4,19,4,3,3,4,5,3,3,
4,3,4,4,3,5,3,5,19,5,
4,19,5,4,5,4,5,4,5,13,
5,3,3,4,5,4,3,26,3,4,
5,3,26,3,4,5,4,3,4,19,
4,4,3,5,5,5,5,3,19,5,
4,5,3,26,4,5,4,19,5,19,
5,3,13,4,4,13,4,3,19,3,
4,5,5,3,19,4,5,3,4,19,
19,5,5,4,4,4,26,3,3,3,
5,25,3,3,4,5,3,4,5,3,
5,3,5,26,4,19,4,4,4,19,
3,4,5,3,3,4,5,3,4,4,
5,5,4,3,4,3,5,19,19,13,
26,19,26,3,4,26,19,4,5,4,
4,5,4,4,19,3,5,3,5,5,
3,5,5,4,4,5,3,13,19,4,
3,3,4,3,5,3,3,19,5,19,
3,26,5,5,4,4,5,3,19,5,
4,4,3,4,13,3,5,4,3,3,
5,4,4,3,5,5,4,5,4,19,
19,4,4,5,4,5,35,4,26,5,
3,4,3,13,5,19,3,19,3,5,
19,28,3,4,4,3,4,4,17,3,
5,3,5,3,3,3,26,3,5,19,
13,5,5,5,5,19,5,3,4,3,
3,17,4,3,5,5,3,5,5,3,
3,4,5,26,3,4,4,26,5,19,
5,3,5,5,26,4,24,4,4,5,
3,5,3,5,3,4,5,3,4,3,
19,33,5,3,4,4,5,3,5,19,
5,3,4,4,3,19,4,4,4,19,
5,5,26,5,4,5,4,19,19,4,
3,4,3,5,19,4,5,5,5,3,
26,5,5,5,3,26,17,5,4,3,
3,3,5,19,4,3,4,5,3,26,
5,13,19,4,4,4,5,3,3,13,
5,5,5,4,3,3,3,5,4,3,
3,3,4,3,4,26,26,5,19,4,
4,3,3,5,4,3,4,4,4,4,
3,3,17,5,13,5,5,5,26,19,
5,19,5,4,3,4,5,5,3,3,
3,5,3,4,5,4,26,26,4,5,
4,3,5,26,3,3,4,3,4,13,
4,3,3,3,5,5,4,19,3,19,
4,4,3,5,19,4,3,3,4,4,
26,3,4,3,3,4,5,3,17,3,
4,4,4,3,4,5,4,3,3,19,
5,4,3,5,3,3,21,5,3,4,
3,19,3,4,5,3,3,4,4,5,
19,4,26,5,5,26,5,4,19,19,
5,4,3,5,4,3,5,19,3,26,
3,5,5,5,26,4,4,5,3,5,
5,4,26,4,5,4,26,5,5,3,
4,19,4,4,5,4,4,19,19,19,
4,3,5,4,3,4,5,26,5,5,
3,4,4,4,5,4,19,3,5,19,
4,3,3,4,19,5,3,4,5,3,
19,33,3,3,3,19,5,19,3,19,
5,4,19,19,5,4,3,4,4,4,
4,3,4,3,3,4,3,4,5,22,
5,4,3,4,4,5,5,5,19,19,
4,13,4,26,4,4,4,5,3,3,
5,3,5,5,3,3,5,19,4,19,
5,4,5,5,26,4,4,4,5,5,
4,4,5,4,4,5,3,5,3,3,
3,17,4,5,4,4,5,3,4,3,
4,3,4,5,3,4,5,5,13,19,
4,3,4,5,5,5,26,4,5,3,
5,26,5,5,5,5,26,4,3,5,
3,3,5,5,3,4,4,4,3,19,
5,4,19,4,3,26,5,3,4,3,
4,5,4,5,19,4,5,4,5,5,
5,5,26,26,4,4,26,19,3,19,
19,5,3,4,5,5,3,3,3,5,
3,5,4,3,19,3,3,19,26,4,
4,5,3,19,5,19,4,3,5,19,
5,19,3,5,4,4,4,4,3,5,
3,5,3,3,5,5,26,4,3,19,
4,5,3,5,4,5,3,5,5,4,
4,4,3,5,3,4,4,4,3,5,
4,33,4,5,3,3,4,4,19,19,
4,3,5,4,5,5,3,19,3,5,
19,5,4,4,4,5,4,3,3,4,
3,4,26,3,3,4,26,4,5,19,
4,3,5,5,3,3,3,4,19,4,
3,4,4,5,5,3,5,5,5,19,
5,4,5,3,4,3,19,3,3,5,
4,5,3,5,19,4,26,3,3,3,
5,19,4,5,4,3,4,19,4,19,
5,4,4,19,4,5,4,5,3,3,
19,4,19,5,26,3,3,5,3,19,
4,4,4,3,3,3,5,4,19,3,
4,4,4,5,4,5,4,13,5,19,
4,5,3,5,3,26,5,3,4,5,
3,26,26,3,3,5,26,3,5,19,
4,3,4,5,3,5,5,4,3,5,
5,5,3,26,4,4,3,3,19,26,
3,3,5,5,4,3,26,5,5,5,
3,3,5,5,5,26,4,3,4,5,
3,33,5,5,5,3,3,19,19,19,
4,3,4,26,4,26,5,3,3,4,
19,3,5,5,5,3,4,26,5,4,
5,4,19,3,4,4,36,4,4,19,
5,3,3,19,19,4,4,5,5,19,
5,13,3,4,5,19,4,4,4,4,
3,4,3,3,3,5,19,4,5,19,
3,4,26,19,5,26,26,19,4,5,
26,4,3,3,4,3,26,5,5,19,
5,3,3,26,3,3,4,5,19,5,
3,3,4,3,4,4,4,3,19,19,
3,4,4,5,5,3,5,3,4,3,
XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,
776,914,791,824,734,833,1057,872,875,1215,
600,600,600,600,600,600,600,600,600,600,
129%,152%,132%,137%,122%,139%,176%,145%,146%,203%,
,,,,,,,,,,
